BG502-2,Biotechnology II
BG503-1,Biotechnology III
BG202-1,Biotechnology II
BG414-1,Advanced Biochemistry
BG415-1,Molecular & Cellular Biology
BG416-1,Biotechnologies
BG417-1,Applications of Biotechnology
BG102-1,Biotechnology I
BG503-3,Biotechnology III
BG406-1,"Fermentation, Proteomics, Neurobiology"
BG407-1,Process Technology; Molecular genetics; Apoptosis
BG408-1,Advanced Techniques in Biotechnology
BG409-1,Signal Transduction: Plant Biotechnology; Biopharmaceuticals
PH341-1,Measurement of Health Hazards at Work
AN412-4,Anatomy Written Papers
AN412-5,Anatomy Written Papers
AN424-1,Anatomy Written Papers
AN424-2,Anatomy Written Papers
AN424-4,Anatomy Written Papers
AN424-5,Anatomy Written Papers
AR113-1,Prehistoric Ireland & Europe
AR115-1,"Celts, Vikings & Normans"
AR225-1,Hunters And Farmers In Early Europe
AR234-1,The Archaeology Of The Celtic World
AR236-1,Interpretation in Archaeology
AR237-1,Early Medieval Ireland 500-800
AR246-1,"Castles, Colonists & Crannogs 1100-1350"
AR329-1,The Archaeology Of The Medieval Irish Church
AR332-1,The Development Of The Castle In Medieval Europe
AR333-1,Interpretation in Archaeology 2
AR334-1,Ancient Civilisations: The Rise of Complex Societies
AR336-1,Europe in the Bronze Age
AR343-1,Public Archaeology
AR344-1,Debating Irish Prehistory
AR347-1,Palaeoecology - Reconstructing Past Environments
AT201-1,Observational Astronomy
AT202-1,Astrophysical Concepts
AT301-1,Stellar Astronomy
AT302-1,Computational Astronomy
AT401-1,High Energy Astrophysics
AT402-1,Interstellar And Plasma Physics
AT404-1,Written Papers
AT404-2,Written Papers
AT404-3,Written Papers
AT404-4,Written Papers
AT404-5,Written Papers
AT404-6,Written Papers
AT404-7,Written Papers
AY400.4-1,Business Taxation
AY871-1,Accounting
BG412-1,Biotechnology Written Papers
BG412-2,Biotechnology Written Papers
BG412-3,Biotechnology Written Papers
BG412-4,Biotechnology Written Papers
BI206-1,Gene Technologies and Molecular Medicine
BI207-1,Metabolism and Cell Signalling
BI309-1,Cell Biology
BI313-1,Cell Signalling
BI317-1,Human Molecular Genetics
BI318-1,Human Nutrition
BI319-1,Molecular Biology
BI321-1,Protein Biochemistry
BI429-1,Advanced Chromosome Biology
BI445-1,Biomolecules
BI446-1,Current Topics in Bioscience
CH102-1,Chemistry
BI448-1,Modern Biotechnologies
BI449-1,Molecular and Cellular Biology
BI452-1,Biochemistry Principles and Experimental Design
BI451-1,Research Paper Analysis
BI204-1,Biomolecules in the Cell
BI205-1,The Cell Factory
BI306-1,Human Nutrition
BI314-1,Biochemistry I
BI315-1,Biochemistry II
BI316-1,Biochemistry
BI434-1,"Biomolecules: Structures, Interactions & Signalling"
BI435-1,"Molecular Biology, Cell Biology & Molecular Genetics"
BI436-1,Research Paper Analysis
BI437-1,Current Topics in Bioscience
BI441-1,Advanced Technologies in Biochemistry & Cell Biology
BI442-1,Research Paper Analysis
BI308-1,Advanced Techniques For Biologists
BI307-1,Immuno Technology
BI110-1,Introduction to Biochemistry
BI217-1,Chemotherapeutics
BI218-1,Molecular Medicine
BI403-1,Biochemistry Papers
BI403-2,Biochemistry Papers
BI403-3,Biochemistry Papers
BI403-4,Biochemistry Papers
BI403-5,Biochemistry Papers
AY590-1,International Corporate Finance
AY872-1,Financial Management I
AY874-1,Accounting For Management Decisions
AY875-1,Financial Management II
BO101-2,Biology
AY625-1,"Performance Management, Ethics and Governance"
AY316-1,Business Taxation
AY318-1,Financial Management
AY323-1,Strategic Management Accounting
AY110-1,Accounting
AY206-1,Financial Accounting I
AY305-1,Financial Accounting II
BI208-1,Protein Structure and Function
AY309-1,Financial Accounting III
AY220.2-1,Management Accounting 2
AY516-2,Management Accounting And Finance
AY519-1,Accounting & Finance
AY519-2,Accounting & Finance
AY213-1,Business Finance I
AY221.2-1,Business Finance
BI410-1,Biochemistry
BI426-1,Biochemistry Papers
BI426-2,Biochemistry Papers
BI426-4,Biochemistry Papers
BI426-5,Biochemistry Papers
BME2100-1,Materials I
BME400-1,Biomechanics
BME402-1,Computational Methods in Engineering Analysis
BME403-1,Medical Implant and Device Design
BME6101-1,Computational Methods in Engineering Analysis
BME327-1,Materials II
BME512-1,Mechanics of Materials_UCSB
BME514-1,Structure and Properties I - UCSB
