module_code,module_name,name,period,sitting,year_start,year_stop,link
AJ103-1,Journalists at Work,Paper 1 - Written,Autumn,2,2013,2014,
AJ103-1,Journalists at Work,Paper 1 - Written,Summer,1,2013,2014,
AN101-1,Anatomy,Paper 1 - Written,Winter,1,2008,2009,
AN101-1,Anatomy,Paper 1 - Written,Winter,1,2009,2010,
AN101-1,Anatomy,Paper 1 - Written,Winter,1,2007,2008,
AN101-1,Anatomy,Paper 1 - Written,Autumn,2,2008,2009,
AN101-2,Anatomy,Paper 2 - Written,Autumn,2,2009,2010,
AN101-2,Anatomy,Paper 2 - Written,Summer,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN101_2_1_2.PDF
AN101-2,Anatomy,Paper 2 - Written,Autumn,2,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN101_2_2_3.PDF
AN101-2,Anatomy,Paper 2 - Written,Summer,1,2009,2010,
AN101-2,Anatomy,Paper 2 - Written,Autumn,2,2008,2009,
AN101-2,Anatomy,Paper 2 - Written,Summer,1,2008,2009,
AN102-1,Foundations in Medical Biology,Paper 1 - Written,Summer,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN102_1_1_2.PDF
AN102-1,Foundations in Medical Biology,Paper 1 - Written,Autumn,2,2007,2008,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Autumn,2,2008,2009,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Autumn,2,2011,2012,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Autumn,2,2010,2011,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Summer,1,2008,2009,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Autumn,2,2009,2010,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Summer,1,2009,2010,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Summer,1,2011,2012,
AN103-1,Contemporary Topics in Medicine,Paper 1 - Written,Summer,1,2010,2011,
AN110-1,Introduction to Anatomy/Musculoskeletal,Paper 1 - Written,Autumn,2,2007,2008,
AN110-1,Introduction to Anatomy/Musculoskeletal,Paper 1 - Written,Winter,1,2007,2008,
AN111-1,Anatomy,Paper 1 - Written,Autumn,2,2008,2009,
AN111-1,Anatomy,Paper 1 - Written,Winter,1,2008,2009,
AN111-2,Anatomy,Paper 2 - Written,Autumn,2,2008,2009,
AN111-2,Anatomy,Paper 2 - Written,Summer,1,2008,2009,
AN208-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2009,2010,
AN208-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2007,2008,
AN208-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2013,2014,
AN208-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2011,2012,
AN208-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2010,2011,
